Place,Population,Per Capita Income,Poverty Count
"Henry County, Georgia",225356,29889,19070
"Houston County, Georgia",153507,29462,21065
"Irwin County, Georgia",9320,19878,2186
"Jackson County, Georgia",67885,28915,7564
"Jasper County, Georgia",13916,22814,2115
"Jeff Davis County, Georgia",15036,17833,3298
"Jefferson County, Georgia",15618,19259,3711
"Jenkins County, Georgia",8793,15531,2655
"Johnson County, Georgia",9691,21087,2043
"Jones County, Georgia",28579,25854,3967
"Lamar County, Georgia",18672,22413,3215
"Lanier County, Georgia",10380,19207,2309
"Laurens County, Georgia",47405,21665,12539
"Lee County, Georgia",29502,29348,3632
"Liberty County, Georgia",61349,22811,9410
"Lincoln County, Georgia",7856,26918,1600
"Long County, Georgia",18692,22639,3481
"Lowndes County, Georgia",115364,23348,27120
"Lumpkin County, Georgia",32402,27155,4664
"McDuffie County, Georgia",21455,21625,5075
"McIntosh County, Georgia",14174,26892,2465
"Macon County, Georgia",13305,17883,2865
"Madison County, Georgia",29218,24511,4953
"Marion County, Georgia",8432,22541,1387
"Meriwether County, Georgia",21106,21038,4806
"Miller County, Georgia",5787,23870,1215
"Mitchell County, Georgia",22244,18619,4592
"Monroe County, Georgia",27171,33290,3625
"Montgomery County, Georgia",9058,22477,1529
"Morgan County, Georgia",18507,33571,1681
"Murray County, Georgia",39724,21989,6118
"Muscogee County, Georgia",195739,26097,39001
"Newton County, Georgia",108079,25247,16559
"Oconee County, Georgia",38132,44336,2336
"Oglethorpe County, Georgia",14931,23523,1894
"Paulding County, Georgia",159825,27979,12969
"Peach County, Georgia",27145,24486,5627
"Pickens County, Georgia",31387,31965,3175
"Pierce County, Georgia",19250,22268,4219
"Pike County, Georgia",18327,27639,1714
"Polk County, Georgia",41908,23857,7634
"Pulaski County, Georgia",11216,20746,2134
"Putnam County, Georgia",21691,31504,3449
"Quitman County, Georgia",2289,18639,465
"Rabun County, Georgia",16645,28266,2939
"Randolph County, Georgia",6973,16691,2225
"Richmond County, Georgia",201852,22787,44200
"Rockdale County, Georgia",89717,28320,11665
"Schley County, Georgia",5221,20965,897
"Screven County, Georgia",13989,22213,3042
"Seminole County, Georgia",8321,29614,1949
"Spalding County, Georgia",65306,24582,11476
"Stephens County, Georgia",25750,23546,3291
"Stewart County, Georgia",6293,16705,1416
"Sumter County, Georgia",30064,20654,7567
"Talbot County, Georgia",6321,21357,1187
"Taliaferro County, Georgia",1611,21416,340
"Tattnall County, Georgia",25382,18319,4421
"Taylor County, Georgia",8116,21298,2067
"Telfair County, Georgia",16035,17202,3704
"Terrell County, Georgia",8737,20045,2719
"Thomas County, Georgia",44630,27454,8408
"Tift County, Georgia",40541,22974,8987
"Toombs County, Georgia",26972,24399,6198
"Towns County, Georgia",11617,25972,1657
"Treutlen County, Georgia",6795,21830,1768
"Troup County, Georgia",69919,23124,14500
"Turner County, Georgia",7943,19527,2558
"Twiggs County, Georgia",8229,20979,1576
"Union County, Georgia",23288,28953,3272
"Upson County, Georgia",26236,21747,5359
"Walker County, Georgia",69039,24247,10892
"Walton County, Georgia",91442,27889,10901
"Ware County, Georgia",35593,20411,8213
"Warren County, Georgia",5297,23448,1402
"Washington County, Georgia",20436,20303,4116
"Wayne County, Georgia",29788,21090,4209
"Webster County, Georgia",2610,24102,584
"Wheeler County, Georgia",7928,14654,1977
"White County, Georgia",29489,27406,3146
"Whitfield County, Georgia",104237,23974,16355
"Wilcox County, Georgia",8824,16183,1628
"Wilkes County, Georgia",9844,24674,2294
"Wilkinson County, Georgia",9010,22141,2077
"Worth County, Georgia",20494,24415,3847
"Hawaii County, Hawaii",199459,30542,30632
"Honolulu County, Hawaii",984821,36816,79070
"Kalawao County, Hawaii",66,49118,6
"Kauai County, Hawaii",71769,33143,5752
"Maui County, Hawaii",165979,35241,15189
"Ada County, Idaho",456849,34919,48513
"Adams County, Idaho",4097,28026,494
"Bannock County, Idaho",85765,25076,13704
"Bear Lake County, Idaho",6000,26378,998
"Benewah County, Idaho",9138,23255,1558
"Bingham County, Idaho",45839,23059,5039
"Blaine County, Idaho",22373,33645,2797
"Boise County, Idaho",7378,31975,787
"Bonner County, Idaho",43611,27918,6262
"Bonneville County, Idaho",114392,28671,11856
"Boundary County, Idaho",11845,25782,2250
"Butte County, Idaho",2581,30294,458
"Camas County, Idaho",1048,30209,163
"Canyon County, Idaho",217633,22232,28722
"Caribou County, Idaho",6953,26221,602
"Cassia County, Idaho",23690,21687,3334
"Clark County, Idaho",913,18860,121
"Clearwater County, Idaho",8673,23412,989
